feature	UniClust90_16807.IDFPLMNG_03757	UniClust90_21441.CAOCNFHN_00906	UniClust90_21441.NJOHNJCG_01071	UniClust90_40283.PGAJOGNC_02314	UniClust90_40285.EPEEOBDK_02476	UniClust90_40285.IAHIHCDK_00580	UniClust90_40285.KOOCCCBI_00608	UniClust90_40285.LMMLBGFG_02712	UniClust90_40327.FGHBMGNK_00425	UniClust90_40368.CBOEGLAA_01739	UniClust90_41310.NBDFAIIE_01685	UniClust90_41417.HDNCLDIK_01960	UniClust90_41457.NFFMAMJI_01048	UniClust90_41551.GAJJKOFK_00879	UniClust90_41559.IDPOMBJD_04092	UniClust90_41579.JJMMCFOM_03094	UniClust90_41580.LHONBIMK_03156	UniClust90_41580.NHNMHOMN_02733	UniClust90_41589.IIPEMNAD_00092	UniClust90_41589.JLPAHMOD_01349	UniClust90_41589.LLLFBKOB_02367	UniClust90_41612.GDJAPIHN_01184	UniClust90_41663.AMAHEHLD_00311	UniClust90_45125.ENCNADPN_00356	UniClust90_45125.ENCNADPN_00715	UniClust90_45125.ENCNADPN_00717	UniClust90_45125.IPHJJDGI_00591	UniClust90_45199.IDHPAOIP_00937	UniClust90_59900.IFKNLAIP_01253	UniRef90_A0A061IGN8	UniRef90_A0A0E9DCK8	UniRef90_A0A0N5E796	UniRef90_A0A173XZL4	UniRef90_A0A192CDZ5	UniRef90_A0A1B1S6K4	UniRef90_A0A1B1S7R9	UniRef90_A0A1B1SCZ0	UniRef90_A0A1Q6JY87	UniRef90_A0A1U8CVM4	UniRef90_A0A1X6RL82	UniRef90_A0A1X6RME2	UniRef90_A0A3A8ZLW4	UniRef90_A0A3A9FEX7	UniRef90_A0A3N2KEI3	UniRef90_A0A3N2KI80	UniRef90_A0A3N2LUA1	UniRef90_A0A3N2LUK0	UniRef90_A0A3N2N4J0	UniRef90_A0A3N2N6L5	UniRef90_B5CLP5	UniRef90_F6ZBU4	UniRef90_O00370	UniRef90_P04026	UniRef90_Q6QI14	UniRef90_Q6TXE2	UniRef90_Q7R7C4	UniRef90_Q7TMB6	UniRef90_Q7TQ38	UniRef90_Q9ZZM8	UniRef90_R9IVR6	UniRef90_R9J3W6	UniRef90_R9J6C4	UniRef90_R9KB99	UniRef90_R9N4V6	UniRef90_S0J3V0	UniRef90_UNK41635.BPHPLFNE_01638	UniRef90_UNK45199.OHEBKGNH_00262	UniRef90_UPI0005ABADA2	UniRef90_UPI0008102124	UniRef90_UPI0008134D77	UniRef90_UPI00081A1282	UniRef90_UPI000FFED5DC	UniRef90_UPI0010939CFD	UniRef90_V9H0W7
ca16	-7.62653270849807	-13.7969980596513	-14.1189267366424	-13.8643981244498	-10.0340396061581	-14.2162265777733	-14.262133622013	-13.4526629775861	-14.1409789653019	-13.9379181502735	-15.2213838917525	-8.04308606177316	-9.07888192635389	-13.7969980596513	-11.0014826776947	-9.7227514112286	-12.646365889392	-12.3406695307803	-14.9070695062767	-14.5427217341081	-14.1441448587278	-12.381006807791	-6.70820009351928	-5.88327781688748	-9.0416410623158	-8.25431128867542	-8.13668857748817	-15.1917705708046	-11.2860592145718	-13.7835145487119	-12.2434929717871	-13.6857410811653	-12.4750699647639	-14.1213736469201	-14.5686889783705	-13.2164959279924	-14.1689243783367	-13.2465613406553	-13.5761498707712	-12.4054973654189	-11.4744321201681	-14.7404148895026	-14.0891786210699	-14.218042940583	-13.5290238512104	-13.5061676054307	-14.1273071313013	-14.7758488443993	-14.4457104638323	-13.6879063063303	-8.7670010747826	-11.7289983325944	-10.1795099100018	-7.073958477224	-8.22190641391894	-0.0456310006471248	-12.7741483165669	-10.5073057633359	-13.4799417738266	-13.5619231230573	-14.4233865687705	-13.5908856181417	-14.6090196790263	-14.6220947107679	-14.0034492953364	-7.2048575962187	-14.3911156608237	-13.1992980914899	-13.0250904312516	-12.3779995485743	-13.6108870259305	-13.9174711874476	-13.8187951965371	-12.6957988654361
ca17	-1.32070386093017	-13.3282849193381	-9.9948588148484	-9.92488698001051	-7.80233144337599	-12.6545098437759	-12.521922848735	-12.2982416428751	-14.1409789653019	-10.7314181863398	-15.2213838917525	-3.65914267395136	-10.6664429186469	-9.421391111727	-12.7353528879439	-9.7227514112286	-8.39275948435366	-8.19578568331416	-11.2958606579097	-7.22614425306479	-11.0063529700485	-7.9525556907864	-6.70820009351928	-3.60460590536983	-7.00235379949819	-6.25684444396328	-6.16073983502231	-15.1917705708046	-11.2860592145718	-9.36800558174907	-7.93101986459148	-9.36283947687182	-8.32602764208917	-10.4053880823305	-11.4500172073656	-9.80871570008217	-11.8057996663213	-9.37462615023747	-9.19408902466274	-8.01165913939678	-7.10638539570462	-9.56423772056766	-9.91324079531179	-11.0096425911831	-10.3809586361531	-11.1570339688727	-10.3700189402641	-11.3663561034751	-10.95842117595	-8.96643812411137	-4.29846992874769	-7.31366522059619	-5.88786927045917	-2.63771419683054	-3.78970822044189	-1.04563100064712	-6.88760855430191	-12.1268327381196	-8.91584485708647	-9.38640331801382	-8.48364686015479	-9.95290617751244	-10.1058897448561	-10.1185094341381	-8.55569165504862	-7.2048575962187	-14.3911156608237	-8.78617687667763	-7.48142008674519	-8.0166485790608	-9.28287120240615	-11.9692255480688	-10.4486993988183	-12.6957988654361
ca18	-1.04375791995214	-12.2064387376045	-10.399084047525	-10.4991997829383	-8.62147840201364	-12.7407745493141	-13.1393242465012	-11.2064354899152	-14.1409789653019	-11.2269929664591	-15.2213838917525	-9.35279291242392	-10.6664429186469	-9.17669096339413	-6.5428727704677	-9.7227514112286	-8.04409116268012	-7.77277799914297	-8.90875920730861	-9.57173068791321	-9.74700608561075	-7.44573882395753	-5.50534138663581	-5.88327781688748	-9.0416410623158	-8.25431128867542	-8.13668857748817	-9.33724909260853	-5.64257103717034	-9.21212608852508	-11.0516817947332	-9.12142243168968	-6.35297782131632	-8.91530520579518	-11.4390359628	-10.1835832285158	-11.4073895270987	-8.98734265995156	-8.99410881072567	-7.93277907832162	-9.86985863436803	-9.12653902612557	-9.10825744627706	-11.4819673776795	-10.4781249062488	-11.0275181247271	-10.656995277007	-11.125195337777	-10.8904515214359	-13.6879063063303	-4.24193298648307	-7.12684729111731	-5.74831941452974	-2.46905650937263	-3.61841832631924	-1.04563100064712	-12.7741483165669	-5.95446088844911	-9.08004558013246	-8.02547548451278	-7.83487752943844	-9.08309100894193	-9.27694305870778	-9.0621381812559	-8.23681656719505	-7.2048575962187	-8.43039035252878	-8.58663791501273	-8.97960694589545	-7.95972680062064	-9.11909157617367	-12.7807798803818	-10.9802262917604	-6.65838843190484
ca19	-0.827326823109437	-11.6239720014156	-11.0390072670348	-10.6620904975988	-9.10040654919725	-13.3438577754282	-12.8733317232196	-12.2089311516486	-10.7938949088019	-11.9462418869683	-15.2213838917525	-9.35279291242392	-4.42115599208439	-9.81183095173592	-6.65405511364581	-9.7227514112286	-6.98120177966193	-6.67896492325698	-9.48101505904315	-6.68438099560092	-8.66977482638585	-14.3816621093903	-6.70820009351928	-5.88327781688748	-9.0416410623158	-8.25431128867542	-8.13668857748817	-15.1917705708046	-11.2860592145718	-10.1619938209998	-11.3537641864795	-8.44707178476674	-9.44614217619914	-10.5794901627522	-12.2103239499289	-10.7032722026116	-11.6351353633247	-9.63977031886239	-9.06780315332012	-8.25244784190115	-10.0519624011439	-10.0837736874696	-10.2640710088436	-11.9900264890793	-11.4022670733568	-11.2781541031557	-11.441291275689	-11.2383532206393	-11.0803033509922	-9.01942648472916	-4.49383199175318	-7.39245221740843	-6.04067286165067	-2.81706001058756	-3.91914684696923	-1.04563100064712	-6.85680018781677	-6.2415937487137	-9.46546437344148	-9.88972957518373	-10.2393383772117	-10.1252377952056	-9.92139367797613	-9.9367721391035	-9.07499321436434	-7.2048575962187	-14.3911156608237	-8.67597030461966	-8.90748180579767	-8.10991824833532	-9.4313566593959	-12.9895213490427	-15.4704757790489	-6.7649478785418
ca20	-7.96492399908715	-15.1647561781198	-14.4235284364161	-13.2545573525131	-10.2608096780402	-14.475981352927	-14.2181325271311	-15.01034403681	-13.1409789653019	-14.6267854672464	-14.2213838917525	-8.35279291242392	-9.66644291864688	-13.1799045569624	-11.7353528879439	-9.7227514112286	-11.8370031285951	-11.5539253492865	-13.9070695062767	-13.5427217341081	-13.1441448587278	-13.3816621093903	-6.70820009351928	-5.88327781688748	-9.0416410623158	-8.25431128867542	-8.13668857748817	-14.1917705708046	-10.2860592145718	-14.9684405429876	-16.2816084550226	-14.3068142141816	-12.6445546673952	-13.7591403062712	-14.8325523005222	-13.6903335881113	-13.9093126367462	-12.8922404674233	-14.0217598861902	-13.1233268591007	-14.9149787781365	-13.8054141521367	-13.6031652405322	-14.844135120707	-14.1791950014817	-13.3835375547238	-14.4461231670621	-13.9883287768051	-13.7036902589696	-12.6879063063303	-9.52614894497381	-12.3409765388802	-10.9560279787624	-7.73606350539282	-8.83743103352386	-0.0354501181115013	-11.7741483165669	-11.1268327381196	-14.2765112628725	-13.5942669371434	-13.7412916720536	-13.3857650853149	-13.5355754751159	-13.7189127521057	-13.349588838762	-7.2048575962187	-13.3911156608237	-13.6320313031995	-13.8500438224117	-14.4790302675362	-14.3266635067492	-14.0448222847267	-14.4704757790489	-11.6957988654361
ca26	-1.05167790553123	-10.2392830720652	-9.82187573494148	-10.8768997719826	-7.5285240452732	-12.1493052565328	-11.6560423891935	-10.0147237893768	-10.3503167776087	-10.1042053011643	-15.2213838917525	-3.58993310440136	-4.77062001638711	-13.8242455727864	-6.67410317978839	-5.45946470895594	-13.646365889392	-13.3406695307803	-10.1238058546453	-6.68287903986276	-10.236280512827	-10.4860742855585	-5.70820009351928	-5.88327781688748	-9.0416410623158	-8.25431128867542	-8.13668857748817	-15.1917705708046	-11.2860592145718	-9.57934596373014	-7.98113726163984	-9.32384428652792	-9.64771466230462	-10.7967612885681	-10.5896933563089	-9.42479241588918	-11.0698405805067	-11.079973753502	-9.06271686986891	-8.38402120015581	-7.03948661732437	-10.5403106729479	-10.6121953416275	-10.32296243249	-9.76448172236168	-10.5602656117488	-10.1071450992857	-10.9748002066558	-10.5980206550705	-13.6879063063303	-4.51720486470667	-7.49772225838269	-6.16489516882336	-2.86004163418813	-3.97826805507392	-1.04563100064712	-12.7741483165669	-6.23817381647744	-9.81459845117664	-10.0578021168336	-11.6464673721803	-11.4175934730758	-10.6689049034205	-10.5400193707797	-9.82424770953149	-7.2048575962187	-14.3911156608237	-8.84075845253994	-9.19455091200434	-8.14259159432024	-9.48435294117923	-11.5472208731171	-9.87615754630258	-12.6957988654361
ca28	-1.14603237402598	-9.54290957506563	-9.71283597236973	-8.83706662363135	-4.85237963868501	-9.13199575383426	-9.12444790767012	-9.96969469593381	-8.80326864305914	-9.4067914104739	-15.2213838917525	-3.97960320285441	-5.12555436630246	-10.1228662788341	-6.63020457378136	-6.15962513845974	-13.646365889392	-13.3406695307803	-9.71283597236973	-7.38046590124874	-11.1278676090382	-9.21406123272931	-6.70820009351928	-5.88327781688748	-9.0416410623158	-8.25431128867542	-8.13668857748817	-15.1917705708046	-11.2860592145718	-9.33537517190735	-7.852999913998	-9.22131652574621	-8.1506910624074	-9.79244182508179	-9.67071826936219	-8.55112944376281	-8.91153282471134	-10.2033909773296	-9.10465685891473	-8.20621428731456	-7.01425964498725	-11.0347577858897	-10.0372646524244	-9.58026203761681	-9.01044454864763	-8.30568901181879	-9.45055343435621	-9.4237074296431	-9.03052565599495	-13.6879063063303	-4.12521993616207	-7.62798781460136	-5.86769608263495	-2.83680905674142	-4.05055281589902	-1.04563100064712	-12.7741483165669	-6.01866902599016	-9.75825432032723	-9.04174067913717	-11.1278676090382	-10.3740614635291	-10.3435954355632	-10.1752897429697	-9.29779533240377	-6.2048575962187	-14.3911156608237	-8.80395095182853	-9.09435888952294	-8.04706426123915	-9.30297733390857	-8.95405879687773	-9.05024723037687	-12.6957988654361
ca29	-0.938334371998743	-10.6334881030116	-10.6334881030116	-9.53845042820002	-6.91951218643161	-10.9770807381883	-10.989848271633	-11.4648380539143	-14.1409789653019	-10.4923312124922	-6.15743714093201	-9.35279291242392	-5.21355511489183	-10.9554135672815	-6.6096333398453	-8.7227514112286	-13.646365889392	-13.3406695307803	-9.61031530211692	-8.83541372941935	-9.25497890802432	-11.3704536971778	-6.70820009351928	-4.88327781688748	-8.0416410623158	-7.25431128867542	-7.13668857748817	-10.0490237523021	-11.2860592145718	-9.71020160274358	-7.89967954762233	-8.44496978759098	-8.62612278611589	-10.4085274775568	-10.8069094855881	-9.42958591547877	-10.5283094012192	-9.44586571946822	-9.26391829200939	-8.1963518674958	-7.03519055172668	-9.75378256547884	-10.4818354506846	-10.7542801816362	-9.97485265790129	-10.0359605188653	-10.0664119973573	-10.589834573611	-10.1610122760342	-9.24075084429719	-4.33771784595703	-7.57323134476828	-5.85334376934329	-2.77810341522924	-3.98128024012489	-1.04563100064712	-12.7741483165669	-6.00143154064373	-10.462779974035	-9.57506168770132	-9.78549002729272	-9.72435865889931	-9.95541356728151	-9.85457895484116	-9.62694744734575	-7.2048575962187	-9.18037037578231	-8.84191572723156	-9.14603636868194	-8.05666662147044	-9.29081642001986	-10.8425906523798	-10.5209715475044	-12.6957988654361
ca30	-0.757661530100019	-10.8021701249402	-10.4802449643011	-9.96974734916146	-7.4405927324477	-12.2278974626965	-12.0679929962905	-10.8635738590049	-14.1409789653019	-11.0797641203708	-15.2213838917525	-9.35279291242392	-10.6664429186469	-11.2172125146362	-12.7353528879439	-5.75635404220577	-13.646365889392	-13.3406695307803	-9.50026870296524	-6.63387210147127	-11.8021730591885	-14.3816621093903	-6.70820009351928	-5.88327781688748	-9.0416410623158	-8.25431128867542	-8.13668857748817	-15.1917705708046	-11.2860592145718	-9.26120819576589	-7.72993759226263	-9.12316323218999	-10.1902700099348	-11.3506090420172	-11.4766520499355	-10.0889252523984	-11.2230831725527	-11.396641505904	-9.03148376767038	-7.97334616145072	-6.90492625310834	-10.2172125146362	-11.5126661752434	-11.6297938520764	-10.825218361901	-10.6668088562144	-10.7636274486829	-11.02367521002	-10.5700104619342	-13.6879063063303	-4.12676614897949	-7.36698187046498	-5.74420468951463	-2.61285412421338	-3.78088613255496	-1.04563100064712	-12.7741483165669	-12.1268327381196	-9.82477120640101	-10.5514138398931	-11.2047761250224	-12.6705832186254	-11.1392058843878	-11.0839226825224	-9.80217379275149	-7.2048575962187	-14.3911156608237	-8.79015504646679	-7.26547360499507	-7.77687442533379	-9.16025125036622	-11.6134181700633	-11.0840653726255	-12.6957988654361
